Hidden_Layers,Learning_Rate,train_accuracy
,train_loss,
test_accuracy,
test_loss
"1000,1000,200,200,100,100",0.001,0.635,1.0360393524169922,0.5334,1.3557578325271606
"1000,1000,200,200",0.002,0.63,0.9900612831115723,0.5362,1.3342468738555908
"1000,1000,200,200,100,100",0.002,0.565,1.1502273082733154,0.5286,1.3479183912277222
"1000,1000,200,100",0.002,0.635,0.984673261642456,0.5336,1.3262302875518799
"200,200,200",0.002,0.52,1.1984453201293945,0.52,1.3826611042022705
"100,200",0.002,0.54,1.2187118530273438,0.4988,1.4150652885437012
"1000,1000,200,200",0.001,0.665,0.9534690976142883,0.5416,1.3185932636260986
"1000,1000,200,200,100,100",0.001,0.61,1.0688259601593018,0.535,1.3749661445617676
"1000,1000,200,100",0.001,0.63,1.0581181049346924,0.5478,1.3258874416351318
"200,200,200",0.001,0.56,1.1948870420455933,0.5216,1.3643752336502075
"100,200",0.001,0.55,1.2583754062652588,0.4998,1.4204216003417969
"1000,1000,200,200",0.01,0.575,1.0941194295883179,0.5378,1.3566638231277466
"1000,1000,200,200,100,100",0.01,0.57,1.2004646062850952,0.5164,1.396621584892273
"1000,1000,200,100",0.01,0.59,1.188766598701477,0.5242,1.3654557466506958
"200,200,200",0.01,0.53,1.276486873626709,0.4966,1.4152942895889282
"100,200",0.01,0.515,1.3137145042419434,0.4862,1.4670149087905884


"1000,1000,200,200",0.002,0.085,2.3029563426971436,0.0994,2.3026282787323
"1000,1000,200,200,100,100",0.002,0.12,2.301882743835449,0.1104,2.3024728298187256
"1000,1000,200,100",0.002,0.145,2.1919326782226562,0.1676,2.182889699935913
"200,200,200",0.002,0.38,1.7298588752746582,0.3588,1.8169137239456177
"100,200",0.002,0.335,1.7914175987243652,0.3342,1.8436181545257568
"1000,1000,200,200",0.001,0.095,2.303032398223877,0.0996,2.3038246631622314
"1000,1000,200,200,100,100",0.001,0.515,1.4649090766906738,0.4122,1.649071455001831
"1000,1000,200,100",0.001,0.455,1.4901238679885864,0.4196,1.7306994199752808
"200,200,200",0.001,0.41,1.6183286905288696,0.4172,1.6516262292861938
"100,200",0.001,0.405,1.6587721109390259,0.3842,1.7418484687805176
"1000,1000,200,200",0.01,0.13,2.3035452365875244,0.1072,2.303166389465332
"1000,1000,200,200,100,100",0.01,0.08,2.302830219268799,0.0976,2.303121566772461
"1000,1000,200,100",0.01,0.08,2.302825689315796,0.0976,2.3031203746795654
"200,200,200",0.01,0.08,2.3028385639190674,0.0976,2.303117275238037
"100,200",0.01,0.08,2.302851676940918,0.0976,2.3031206130981445
